product_id,store_id,current_stock,reorder_level,safety_stock,unit_cost
P001,S001,14,15,8,715.1
P001,S002,10,15,8,715.1
P001,S003,8,15,8,715.1
P001,S004,8,15,8,715.1
P002,S001,12,25,15,12.59
P002,S002,35,20,10,12.59
P002,S003,35,20,10,12.59
P002,S004,35,20,10,12.59
P003,S001,62,29,12,97.43
P003,S002,23,20,8,97.43
P003,S003,58,31,13,97.43
P003,S004,38,27,11,97.43
P004,S001,8,6,3,346.76
P004,S002,8,6,3,346.76
P004,S003,8,6,3,346.76
P004,S004,8,6,3,346.76
P005,S001,47,22,9,21.37
P005,S002,33,25,10,21.37
P005,S003,24,14,6,21.37
P005,S004,45,23,9,21.37
P006,S001,25,20,10,3.91
P006,S002,25,20,10,3.91
P006,S003,25,20,10,3.91
P006,S004,25,20,10,3.91
P007,S001,28,30,15,3.04
P007,S002,28,30,15,3.04
P007,S003,28,30,15,3.04
P007,S004,28,30,15,3.04
P008,S001,45,30,15,9.49
P008,S002,45,30,15,9.49
P008,S003,45,30,15,9.49
P008,S004,45,30,15,9.49
P009,S001,43,22,9,2.93
P009,S002,41,30,12,2.93
P009,S003,24,15,6,2.93
P009,S004,38,24,10,2.93
P010,S001,40,24,10,7.06
P010,S002,27,17,7,7.06
P010,S003,64,31,13,7.06
P010,S004,25,14,6,7.06
P011,S001,140,20,10,79.92
P011,S002,140,20,10,79.92
P011,S003,95,20,10,79.92
P011,S004,95,20,10,79.92
P012,S001,57,27,11,25.91
P012,S002,26,19,8,25.91
P012,S003,14,15,6,25.91
P012,S004,54,27,11,25.91
P013,S001,68,32,13,19.15
P013,S002,27,22,9,19.15
P013,S003,52,25,10,19.15
P013,S004,30,22,9,19.15
P014,S001,24,19,8,11.66
P014,S002,74,32,13,11.66
P014,S003,60,31,13,11.66
P014,S004,27,22,9,11.66
P015,S001,18,8,4,131.45
P015,S002,18,8,4,131.45
P015,S003,18,8,4,131.45
P015,S004,18,8,4,131.45
P016,S001,41,19,8,34.9
P016,S002,42,28,12,34.9
P016,S003,26,17,7,34.9
P016,S004,21,13,5,34.9
P017,S001,68,29,12,25.59
P017,S002,29,23,9,25.59
P017,S003,58,25,10,25.59
P017,S004,22,15,6,25.59
P018,S001,55,24,10,55.9
P018,S002,66,31,13,55.9
P018,S003,52,26,11,55.9
P018,S004,36,20,8,55.9
P019,S001,16,20,10,46.61
P019,S002,16,20,10,46.61
P019,S003,16,20,10,46.61
P019,S004,16,20,10,46.61
P020,S001,12,13,5,8.02
P020,S002,42,23,9,8.02
P020,S003,17,12,5,8.02
P020,S004,12,13,5,8.02
P021,S001,14,12,5,19.87
P021,S002,32,22,9,19.87
P021,S003,37,22,9,19.87
P021,S004,59,27,11,19.87
