date,product_id,store_id,units_sold,unit_price,total_revenue
2026-06-08,P001,S001,4,1200.0,4800.0
2026-06-09,P001,S001,1,1200.0,1200.0
2026-06-10,P001,S001,3,1200.0,3600.0
2026-06-11,P001,S001,3,1200.0,3600.0
2026-06-12,P001,S001,1,1200.0,1200.0
2026-06-13,P001,S001,2,1200.0,2400.0
2026-06-14,P001,S001,2,1200.0,2400.0
2026-06-15,P001,S001,2,1200.0,2400.0
2026-06-16,P001,S001,1,1200.0,1200.0
2026-06-17,P001,S001,1,1200.0,1200.0
2026-06-18,P001,S001,1,1200.0,1200.0
2026-06-19,P001,S001,0,1200.0,0.0
2026-06-20,P001,S001,4,1200.0,4800.0
2026-06-21,P001,S001,2,1200.0,2400.0
2026-06-22,P001,S001,1,1200.0,1200.0
2026-06-23,P001,S001,3,1200.0,3600.0
2026-06-24,P001,S001,2,1200.0,2400.0
2026-06-25,P001,S001,6,1200.0,7200.0
2026-06-26,P001,S001,1,1200.0,1200.0
2026-06-27,P001,S001,2,1200.0,2400.0
2026-06-28,P001,S001,3,1200.0,3600.0
2026-06-29,P001,S001,1,1200.0,1200.0
2026-06-30,P001,S001,0,1200.0,0.0
2026-07-01,P001,S001,3,1200.0,3600.0
2026-07-02,P001,S001,4,1200.0,4800.0
2026-07-03,P001,S001,1,1200.0,1200.0
2026-07-04,P001,S001,3,1200.0,3600.0
2026-07-05,P001,S001,2,1200.0,2400.0
2026-07-06,P001,S001,3,1200.0,3600.0
2026-07-07,P001,S001,4,1200.0,4800.0
2026-07-08,P001,S001,2,1200.0,2400.0
2026-07-09,P001,S001,0,1200.0,0.0
2026-07-10,P001,S001,0,1200.0,0.0
2026-07-11,P001,S001,4,1200.0,4800.0
2026-07-12,P001,S001,2,1200.0,2400.0
2026-07-13,P001,S001,0,1200.0,0.0
2026-07-14,P001,S001,1,1200.0,1200.0
2026-07-15,P001,S001,5,1200.0,6000.0
2026-07-16,P001,S001,4,1200.0,4800.0
2026-07-17,P001,S001,0,1200.0,0.0
2026-07-18,P001,S001,2,1200.0,2400.0
2026-07-19,P001,S001,1,1200.0,1200.0
2026-07-20,P001,S001,2,1200.0,2400.0
2026-07-21,P001,S001,0,1200.0,0.0
2026-07-22,P001,S001,2,1200.0,2400.0
2026-07-23,P001,S001,2,1200.0,2400.0
2026-07-24,P001,S001,3,1200.0,3600.0
2026-07-25,P001,S001,2,1200.0,2400.0
2026-07-26,P001,S001,2,1200.0,2400.0
2026-07-27,P001,S001,2,1200.0,2400.0
2026-07-28,P001,S001,1,1200.0,1200.0
2026-07-29,P001,S001,3,1200.0,3600.0
2026-07-30,P001,S001,2,1200.0,2400.0
2026-07-31,P001,S001,3,1200.0,3600.0
2026-08-01,P001,S001,2,1200.0,2400.0
2026-08-02,P001,S001,0,1200.0,0.0
2026-08-03,P001,S001,2,1200.0,2400.0
2026-08-04,P001,S001,1,1200.0,1200.0
2026-08-05,P001,S001,1,1200.0,1200.0
2026-08-06,P001,S001,3,1200.0,3600.0
2026-08-07,P001,S001,1,1200.0,1200.0
2026-08-08,P001,S001,5,1200.0,6000.0
2026-08-09,P001,S001,2,1200.0,2400.0
2026-08-10,P001,S001,4,1200.0,4800.0
2026-08-11,P001,S001,5,1200.0,6000.0
2026-08-12,P001,S001,2,1200.0,2400.0
2026-08-13,P001,S001,0,1200.0,0.0
2026-08-14,P001,S001,0,1200.0,0.0
2026-08-15,P001,S001,1,1200.0,1200.0
2026-08-16,P001,S001,2,1200.0,2400.0
2026-08-17,P001,S001,2,1200.0,2400.0
2026-08-18,P001,S001,1,1200.0,1200.0
2026-08-19,P001,S001,5,1200.0,6000.0
2026-08-20,P001,S001,1,1200.0,1200.0
2026-08-21,P001,S001,2,1200.0,2400.0
2026-08-22,P001,S001,5,1200.0,6000.0
2026-08-23,P001,S001,2,1200.0,2400.0
2026-08-24,P001,S001,0,1200.0,0.0
2026-08-25,P001,S001,1,1200.0,1200.0
2026-08-26,P001,S001,4,1200.0,4800.0
2026-08-27,P001,S001,5,1200.0,6000.0
2026-08-28,P001,S001,2,1200.0,2400.0
2026-08-29,P001,S001,3,1200.0,3600.0
2026-08-30,P001,S001,1,1200.0,1200.0
2026-08-31,P001,S001,2,1200.0,2400.0
2026-09-01,P001,S001,5,1200.0,6000.0
2026-09-02,P001,S001,5,1200.0,6000.0
2026-09-03,P001,S001,5,1200.0,6000.0
2026-09-04,P001,S001,1,1200.0,1200.0
2026-09-05,P001,S001,1,1200.0,1200.0
2026-06-08,P001,S002,0,1200.0,0.0
2026-06-09,P001,S002,2,1200.0,2400.0
2026-06-10,P001,S002,1,1200.0,1200.0
2026-06-11,P001,S002,0,1200.0,0.0
2026-06-12,P001,S002,2,1200.0,2400.0
2026-06-13,P001,S002,3,1200.0,3600.0
2026-06-14,P001,S002,1,1200.0,1200.0
2026-06-15,P001,S002,3,1200.0,3600.0
2026-06-16,P001,S002,3,1200.0,3600.0
2026-06-17,P001,S002,1,1200.0,1200.0
2026-06-18,P001,S002,0,1200.0,0.0
2026-06-19,P001,S002,0,1200.0,0.0
2026-06-20,P001,S002,4,1200.0,4800.0
2026-06-21,P001,S002,1,1200.0,1200.0
2026-06-22,P001,S002,3,1200.0,3600.0
2026-06-23,P001,S002,4,1200.0,4800.0
2026-06-24,P001,S002,1,1200.0,1200.0
2026-06-25,P001,S002,1,1200.0,1200.0
2026-06-26,P001,S002,0,1200.0,0.0
2026-06-27,P001,S002,0,1200.0,0.0
2026-06-28,P001,S002,0,1200.0,0.0
2026-06-29,P001,S002,3,1200.0,3600.0
2026-06-30,P001,S002,2,1200.0,2400.0
2026-07-01,P001,S002,2,1200.0,2400.0
2026-07-02,P001,S002,1,1200.0,1200.0
2026-07-03,P001,S002,2,1200.0,2400.0
2026-07-04,P001,S002,3,1200.0,3600.0
2026-07-05,P001,S002,1,1200.0,1200.0
2026-07-06,P001,S002,3,1200.0,3600.0
2026-07-07,P001,S002,4,1200.0,4800.0
2026-07-08,P001,S002,3,1200.0,3600.0
2026-07-09,P001,S002,0,1200.0,0.0
2026-07-10,P001,S002,0,1200.0,0.0
2026-07-11,P001,S002,1,1200.0,1200.0
2026-07-12,P001,S002,0,1200.0,0.0
2026-07-13,P001,S002,2,1200.0,2400.0
2026-07-14,P001,S002,2,1200.0,2400.0
2026-07-15,P001,S002,5,1200.0,6000.0
2026-07-16,P001,S002,1,1200.0,1200.0
2026-07-17,P001,S002,3,1200.0,3600.0
2026-07-18,P001,S002,5,1200.0,6000.0
2026-07-19,P001,S002,1,1200.0,1200.0
2026-07-20,P001,S002,3,1200.0,3600.0
2026-07-21,P001,S002,2,1200.0,2400.0
2026-07-22,P001,S002,1,1200.0,1200.0
2026-07-23,P001,S002,4,1200.0,4800.0
2026-07-24,P001,S002,1,1200.0,1200.0
2026-07-25,P001,S002,5,1200.0,6000.0
2026-07-26,P001,S002,1,1200.0,1200.0
2026-07-27,P001,S002,3,1200.0,3600.0
2026-07-28,P001,S002,0,1200.0,0.0
2026-07-29,P001,S002,1,1200.0,1200.0
2026-07-30,P001,S002,1,1200.0,1200.0
2026-07-31,P001,S002,0,1200.0,0.0
2026-08-01,P001,S002,1,1200.0,1200.0
2026-08-02,P001,S002,2,1200.0,2400.0
2026-08-03,P001,S002,0,1200.0,0.0
2026-08-04,P001,S002,3,1200.0,3600.0
2026-08-05,P001,S002,4,1200.0,4800.0
2026-08-06,P001,S002,4,1200.0,4800.0
2026-08-07,P001,S002,1,1200.0,1200.0
2026-08-08,P001,S002,1,1200.0,1200.0
2026-08-09,P001,S002,1,1200.0,1200.0
2026-08-10,P001,S002,4,1200.0,4800.0
2026-08-11,P001,S002,2,1200.0,2400.0
2026-08-12,P001,S002,1,1200.0,1200.0
2026-08-13,P001,S002,1,1200.0,1200.0
2026-08-14,P001,S002,3,1200.0,3600.0
